,num_robots,deadlock_count,time
0,1,0,2838
1,2,2,1528
2,3,4,1064
3,4,1,820
4,5,0,660
5,6,19,570
6,7,3,506
7,8,1,462
8,9,6,424
9,10,4,406
10,11,5,374
11,12,11,330
12,13,12,390
13,14,28,350
14,15,30,282
15,16,24,280
16,17,42,248
17,18,31,260
18,19,46,298
19,20,46,252
20,21,49,240
21,22,37,280
22,23,76,238
23,24,32,266
24,25,22,270
25,26,32,258
26,27,26,226
27,28,28,212
28,29,27,186
